channel,ch[0],ch[1],ch[2],ch[3],ch[4],ch[5],ch[6],ch[7],ch[8],ch[9],ch[10],ch[11],ch[12],ch[13],ch[14],ch[15],ch[16],ch[17],ch[18],ch[19]
ch[10],0.9971091151810415,0.9965343117504638,0.9966389075891338,-0.01589357777015635,0.9966016010088575,0.9965634485743708,0.9963809857916562,0.996988627085169,0.9968973211759179,0.9958506135050128,1.0,0.9966347149447098,0.9969971063652872,0.9963775859854354,0.9962949836164939,0.9966131623597181,0.9932301886257904,0.9921081159274894,0.9930333829784779,-0.14360548318824135
ch[11],0.9973857447974553,0.9974050732490373,0.996682322375434,-0.024663140389153525,0.996848452267259,0.9974899706986039,0.9965474901117151,0.9973441469183856,0.9974510579061416,0.9967508296730943,0.9966347149447098,1.0,0.9971852860420555,0.9973708379987115,0.9970745138356825,0.9978466457446175,0.9931875037887514,0.9928449310773279,0.9930496610301145,-0.12566975667456665
ch[12],0.9976470386710682,0.9969894164934773,0.9970128068697724,-0.014123199155001733,0.9972707704279897,0.9968097507363083,0.9972665217516689,0.9975384500086635,0.9977811412460322,0.9964159034016281,0.9969971063652873,0.9971852860420555,0.9999999999999999,0.9968583168571159,0.9971990139215272,0.9969945940248345,0.992836423755861,0.9926706069363173,0.9930656239945996,-0.13160200258302143
ch[13],0.9968180791279954,0.9968645012012054,0.9965029085588298,-0.02216385301569387,0.996670040709036,0.9972503775549165,0.9963788958511602,0.9974095320612215,0.9971936846810954,0.9966468474220652,0.9963775859854354,0.9973708379987115,0.996858316857116,1.0,0.9965250992159784,0.9975311640065834,0.9922744007324724,0.9932903084044485,0.9925797766765392,-0.12976509783268064
ch[14],0.9969730076365354,0.9967785357169785,0.9967536080652032,-0.018989453233957954,0.9968543806631749,0.9968513276264666,0.9965430260825499,0.9969298645691809,0.9973962657546023,0.996299646714029,0.9962949836164939,0.9970745138356825,0.9971990139215272,0.9965250992159784,1.0,0.9969183536730025,0.9927417775213934,0.9927022160794232,0.9928080137986813,-0.1318502486547415
ch[15],0.9972625268531222,0.9974433380320732,0.9970730910746608,-0.019135461795545095,0.9968085299602656,0.9972996899696058,0.9969183353938217,0.9976317605591594,0.9973326136370474,0.9969980978919738,0.9966131623597182,0.9978466457446173,0.9969945940248345,0.9975311640065833,0.9969183536730026,1.0,0.9926905954572584,0.9937554250776238,0.9928627978058118,-0.12531874864162357
ch[16],0.9931431567017495,0.9933136317780493,0.9924302715768742,-0.0030317650181293752,0.992574753166354,0.9925652374195192,0.991804444407364,0.9931487460571403,0.99287971008461,0.9917485209450458,0.9932301886257904,0.9931875037887514,0.9928364237558611,0.9922744007324724,0.9927417775213933,0.9926905954572584,1.0,0.9797431532626908,0.9971824430450623,-0.1322335250927123
ch[17],0.9926128522362059,0.9924234827701226,0.9923625310122357,-0.03312573125967772,0.9925998158821185,0.9931315737968183,0.9924303052215561,0.9929243775626071,0.9927472797978393,0.9930731278544533,0.9921081159274894,0.9928449310773277,0.9926706069363173,0.9932903084044487,0.9927022160794232,0.9937554250776238,0.9797431532626909,1.0,0.9801281392942316,-0.13641197895125332
ch[18],0.9931753023600658,0.9933146707463743,0.9925950999213479,0.00277324219041846,0.9926430210758209,0.9925317259125639,0.9919584465041473,0.9935728423994579,0.993206383879572,0.9918870966288456,0.9930333829784779,0.9930496610301145,0.9930656239945997,0.9925797766765392,0.9928080137986813,0.9928627978058118,0.9971824430450623,0.9801281392942317,1.0,-0.1287463078952992
ch[19],-0.12735373281087992,-0.1365487510090226,-0.13308589253505076,0.019442429362979935,-0.14097733506406548,-0.12907036864596222,-0.13017687552184967,-0.13214978766162594,-0.13204241648719647,-0.12714420891022193,-0.14360548318824135,-0.12566975667456662,-0.13160200258302146,-0.12976509783268064,-0.13185024865474146,-0.12531874864162357,-0.1322335250927123,-0.13641197895125332,-0.1287463078952992,1.0
