i,j,label_i,label_j,pearson,spearman,signed_diff,absdiff,signed_ratio,abs_ratio,mean_abs_strength,abs_dominance,sign_agreement,sign_relation
1,18,канал[1],канал[18],0.9933146707463744,0.9919976479976481,0.0013170227487262487,0.0013170227487262487,1.001327647047737,1.001327647047737,0.9926561593720112,0.0013170227487262487,1.0,знак совпадает
1,19,канал[1],канал[19],-0.13654875100902264,-0.12993774993774995,-0.0066110010712726874,0.0066110010712726874,1.0508782172574165,1.0508782172574165,0.1332432504733863,0.0066110010712726874,1.0,знак совпадает
2,3,канал[2],канал[3],-0.01956384145677163,0.005162381162381163,-0.02472622261915279,0.02472622261915279,-3.789693329763305,3.789693329763305,0.012363111309576395,0.014401460294390466,0.0,знак различается
2,4,канал[2],канал[4],0.9968978549390958,0.9961793281793283,0.0007185267597674683,0.0007185267597674683,1.0007212825436567,1.0007212825436567,0.996538591559212,0.0007185267597674683,1.0,знак совпадает
2,5,канал[2],канал[5],0.9963574266392241,0.9956565596565597,0.000700866982664361,0.000700866982664361,1.0007039244364604,1.0007039244364604,0.9960069931478919,0.000700866982664361,1.0,знак совпадает
2,6,канал[2],канал[6],0.9968190307046944,0.9961064521064523,0.0007125785982420307,0.0007125785982420307,1.0007153639018551,1.0007153639018551,0.9964627414055733,0.0007125785982420307,1.0,знак совпадает
2,7,канал[2],канал[7],0.9969912802046657,0.9964064284064286,0.0005848517982370849,0.0005848517982370849,1.0005869610849183,1.0005869610849183,0.996698854305547,0.0005848517982370849,1.0,знак совпадает
2,8,канал[2],канал[8],0.9975053665435565,0.9969283209283208,0.0005770456152356385,0.0005770456152356385,1.0005788235754987,1.0005788235754987,0.9972168437359387,0.0005770456152356385,1.0,знак совпадает
2,9,канал[2],канал[9],0.9963272730474807,0.9956280476280478,0.0006992254194329028,0.0006992254194329028,1.0007022958233236,1.0007022958233236,0.9959776603377642,0.0006992254194329028,1.0,знак совпадает
2,10,канал[2],канал[10],0.9966389075891335,0.995879843879844,0.0007590637092895758,0.0007590637092895758,1.000762204109215,1.000762204109215,0.9962593757344888,0.0007590637092895758,1.0,знак совпадает
2,11,канал[2],канал[11],0.996682322375434,0.9961232641232642,0.0005590582521697307,0.0005590582521697307,1.0005612340081844,1.0005612340081844,0.9964027932493491,0.0005590582521697307,1.0,знак совпадает
2,12,канал[2],канал[12],0.9970128068697728,0.9964936924936925,0.0005191143760803207,0.0005191143760803207,1.000520940955262,1.000520940955262,0.9967532496817326,0.0005191143760803207,1.0,знак совпадает
2,13,канал[2],канал[13],0.9965029085588294,0.9959157359157359,0.000587172643093492,0.000587172643093492,1.0005895806461513,1.0005895806461513,0.9962093222372826,0.000587172643093492,1.0,знак совпадает
2,14,канал[2],канал[14],0.9967536080652024,0.9959742119742121,0.0007793960909903141,0.0007793960909903141,1.0007825464571471,1.0007825464571471,0.9963639100197073,0.0007793960909903141,1.0,знак совпадает
2,15,канал[2],канал[15],0.9970730910746605,0.9965117525117526,0.0005613385629078538,0.0005613385629078538,1.0005633035049442,1.0005633035049442,0.9967924217932065,0.0005613385629078538,1.0,знак совпадает
2,16,канал[2],канал[16],0.9924302715768739,0.9913002553002553,0.0011300162766185728,0.0011300162766185728,1.0011399334062274,1.0011399334062274,0.9918652634385646,0.0011300162766185728,1.0,знак совпадает
2,17,канал[2],канал[17],0.9923625310122357,0.9913133233133234,0.0010492076989122578,0.0010492076989122578,1.0010584016922173,1.0010584016922173,0.9918379271627795,0.0010492076989122578,1.0,знак совпадает
2,18,канал[2],канал[18],0.9925950999213476,0.9912811272811274,0.0013139726402202623,0.0013139726402202623,1.001325529765531,1.001325529765531,0.9919381136012375,0.0013139726402202623,1.0,знак совпадает
2,19,канал[2],канал[19],-0.1330858925350508,-0.12357997557997558,-0.009505916955075217,0.009505916955075217,1.0769211752184187,1.0769211752184187,0.12833293405751317,0.009505916955075217,1.0,знак совпадает
3,4,канал[3],канал[4],-0.0186338922589172,0.0063295143295143295,-0.02496340658843153,0.02496340658843153,-2.943968729484968,2.943968729484968,0.012481703294215765,0.012304377929402869,0.0,знак различается
3,5,канал[3],канал[5],-0.008818386551741613,0.019119499119499124,-0.02793788567124074,0.02793788567124074,-0.4612247683177084,0.4612247683177084,0.01396894283562037,-0.01030111256775751,0.0,знак различается
3,6,канал[3],канал[6],-0.025533138279838826,0.0021423381423381423,-0.027675476422176968,0.027675476422176968,-11.918351158128578,11.918351158128578,0.013837738211088484,0.023390800137500684,0.0,знак различается
3,7,канал[3],канал[7],-0.01850572669913277,0.00867064467064467,-0.02717637136977744,0.02717637136977744,-2.1342965145124384,2.1342965145124384,0.01358818568488872,0.0098350820284881,0.0,знак различается
3,8,канал[3],канал[8],-0.022952188643295294,0.00336942336942337,-0.026321612012718664,0.026321612012718664,-6.811904034257127,6.811904034257127,0.013160806006359332,0.019582765273871924,0.0,знак различается
3,9,канал[3],канал[9],-0.015874454450187068,0.009714129714129716,-0.025588584164316783,0.025588584164316783,-1.6341612596645518,1.6341612596645518,0.012794292082158392,0.006160324736057352,0.0,знак различается
3,10,канал[3],канал[10],-0.015893577770156382,0.01120863520863521,-0.02710221297879159,0.02710221297879159,-1.4179761830335829,1.4179761830335829,0.013551106489395795,0.0046849425615211725,0.0,знак различается
3,11,канал[3],канал[11],-0.024663140389153532,0.0012865932865932866,-0.02594973367574682,0.02594973367574682,-19.16933707501146,19.16933707501146,0.01297486683787341,0.023376547102560246,0.0,знак различается
3,12,канал[3],канал[12],-0.014123199155001733,0.011073719073719075,-0.02519691822872081,0.02519691822872081,-1.2753799388427596,1.2753799388427596,0.012598459114360404,0.003049480081282658,0.0,знак различается
3,13,канал[3],канал[13],-0.02216385301569393,0.006946062946062946,-0.029109915961756876,0.029109915961756876,-3.1908511609812695,3.1908511609812695,0.014554957980878438,0.015217790069630983,0.0,знак различается
3,14,канал[3],канал[14],-0.01898945323395799,0.006276894276894277,-0.025266347510852265,0.025266347510852265,-3.025294420500215,3.025294420500215,0.012633173755426132,0.012712558957063712,0.0,знак различается
3,15,канал[3],канал[15],-0.01913546179554508,0.009920325920325922,-0.029055787715871,0.029055787715871,-1.928914629340767,1.928914629340767,0.0145278938579355,0.009215135875219159,0.0,знак различается
3,16,канал[3],канал[16],-0.003031765018129394,0.022408690408690406,-0.0254404554268198,0.0254404554268198,-0.13529416323917048,0.13529416323917048,0.0127202277134099,-0.019376925390561014,0.0,знак различается
3,17,канал[3],канал[17],-0.03312573125967775,-0.007226143226143226,-0.025899588033534524,0.025899588033534524,4.584150939581886,4.584150939581886,0.02017593724291049,0.025899588033534524,1.0,знак совпадает
3,18,канал[3],канал[18],0.0027732421904184674,0.025372105372105377,-0.02259886318168691,0.02259886318168691,0.1093028012356999,0.1093028012356999,0.014072673781261922,-0.02259886318168691,1.0,знак совпадает
3,19,канал[3],канал[19],0.01944242936297996,0.004267816267816268,0.015174613095163691,0.015174613095163691,4.555591933419419,4.555591933419419,0.011855122815398113,0.015174613095163691,1.0,знак совпадает
